Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,Target,Venue_Code,Venue_Code,Opp_Code,Day_Code,Rolling_HomeGoals,Rolling_AwayGoals,Venue_Opp_Interaction,Decayed_Rolling_HomeGoals,Decayed_Rolling_AwayGoals,Home_Advantage,Home_Streak_Wins,Away_Streak_Losses
,,2023-08-11,,,,,,0,0,12,5,4,3.0,0.0,0,3.0,0.0,3.0,,
,,2023-08-19,,,,,,0,1,12,14,5,2.0,0.0,14,1.1818181818181819,0.0,2.0,,
,,2023-08-27,,,,,,0,0,12,16,6,2.0,0.3333333333333333,0,1.918918918918919,0.9009009009009008,1.0,,
,,2023-09-02,,,,,,0,1,12,9,5,2.6666666666666665,0.6666666666666666,9,4.692169216921691,0.99009900990099,1.75,,
,,2023-09-16,,,,,,0,0,12,18,5,3.3333333333333335,1.0,0,3.16920169201692,0.9990099900999009,1.7999999999999998,,
,,2023-09-23,,,,,,0,1,12,15,5,3.3333333333333335,0.6666666666666666,15,2.1169191169191173,0.0999000999001,2.6,,
,,2023-09-30,,,,,,1,0,12,19,5,2.0,1.0,0,1.1116918111691811,1.8099901809990178,0.6000000000000001,,
,,2023-10-08,,,,,,1,0,12,0,6,1.0,1.0,0,0.11116917111169182,1.0809990108099903,1.2000000000000002,,
,,2023-10-21,,,,,,0,1,12,4,5,1.0,1.3333333333333333,4,1.8111169188111167,1.0080999010080998,0.6000000000000001,,
,,2023-10-29,,,,,,0,0,12,13,6,1.6666666666666667,0.6666666666666666,0,2.8811116919881115,0.10080999001008109,1.6,,
,,2023-11-04,,,,,,0,1,12,2,5,3.6666666666666665,0.6666666666666666,2,5.688111169226881,0.9100809990091008,1.4,,
,,2023-11-12,,,,,,2,0,12,6,6,4.333333333333333,1.6666666666666667,0,4.168811116921169,3.691008099903691,-1.0,,
,,2023-11-25,,,,,,2,1,12,10,5,3.6666666666666665,2.0,10,1.316881111691832,1.2691008099901273,2.2,,
